time,close,Volume
1981-03-31,1.1,NaN
1981-06-30,2.2,NaN
1981-09-30,2.2,NaN
1981-12-31,0.8,NaN
1982-03-31,0.6,NaN
1982-06-30,-1.4,NaN
1982-09-30,-2.2,NaN
1982-12-31,-2.2,NaN
1983-03-31,-0.5,NaN
1983-06-30,0.1,NaN
1983-09-30,1.1,NaN
1983-12-31,1.8,NaN
1984-03-31,2.1,NaN
1984-06-30,2.4,NaN
1984-09-30,3.5,NaN
1984-12-31,3.9,NaN
1985-03-31,4.1,NaN
1985-06-30,4.4,NaN
1985-09-30,3,NaN
1985-12-31,3.2,NaN
1986-03-31,1.7,NaN
1986-06-30,2.6,NaN
1986-09-30,2,NaN
1986-12-31,1.2,NaN
1987-03-31,1.1,NaN
1987-06-30,0.3,NaN
1987-09-30,2.2,NaN
1987-12-31,2.7,NaN
1988-03-31,3.6,NaN
1988-06-30,2.9,NaN
1988-09-30,2.9,NaN
1988-12-31,3.7,NaN
1989-03-31,4,NaN
1989-06-30,5.4,NaN
1989-09-30,4.6,NaN
1989-12-31,3.4,NaN
1990-03-31,6,NaN
1990-06-30,4,NaN
1990-09-30,3.2,NaN
1990-12-31,1.7,NaN
1991-03-31,-0.4,NaN
1991-06-30,-1.4,NaN
1991-09-30,-1.2,NaN
1991-12-31,-0.7,NaN
1992-03-31,0.3,NaN
1992-06-30,0.6,NaN
1992-09-30,0,NaN
1992-12-31,-1,NaN
1993-03-31,-2.1,NaN
1993-06-30,-0.9,NaN
1993-09-30,0.7,NaN
1993-12-31,1.9,NaN
1994-03-31,2.7,NaN
1994-06-30,0.3,NaN
1994-09-30,0.9,NaN
1994-12-31,1.2,NaN
1995-03-31,-0.1,NaN
1995-06-30,1.6,NaN
1995-09-30,0.8,NaN
1995-12-31,-0.3,NaN
1996-03-31,0.9,NaN
1996-06-30,0.5,NaN
1996-09-30,-0.1,NaN
1996-12-31,0.6,NaN
1997-03-31,0.5,NaN
1997-06-30,2,NaN
1997-09-30,2.9,NaN
1997-12-31,3.5,NaN
1998-03-31,3.5,NaN
1998-06-30,3.8,NaN
1998-09-30,2.9,NaN
1998-12-31,2,NaN
1999-03-31,1.3,NaN
1999-06-30,0.6,NaN
1999-09-30,1,NaN
1999-12-31,3.7,NaN
2000-03-31,4.5,NaN
2000-06-30,4,NaN
2000-09-30,4.3,NaN
2000-12-31,3.1,NaN
2001-03-31,2.3,NaN
2001-06-30,2.6,NaN
2001-09-30,1.6,NaN
2001-12-31,0,NaN
2002-03-31,-0.2,NaN
2002-06-30,0.1,NaN
2002-09-30,0.1,NaN
2002-12-31,-0.3,NaN
2003-03-31,-0.5,NaN
2003-06-30,-1.3,NaN
2003-09-30,0,NaN
2003-12-31,1.6,NaN
2004-03-31,3,NaN
2004-06-30,3.8,NaN
2004-09-30,2.6,NaN
2004-12-31,1.5,NaN
2005-03-31,1.5,NaN
2005-06-30,2.5,NaN
2005-09-30,3.1,NaN
2005-12-31,3.9,NaN
2006-03-31,4.8,NaN
2006-06-30,3.9,NaN
2006-09-30,3.8,NaN
2006-12-31,3.8,NaN
2007-03-31,3.2,NaN
2007-06-30,4.1,NaN
2007-09-30,4.3,NaN
2007-12-31,4,NaN
2008-03-31,3.9,NaN
2008-06-30,4.2,NaN
2008-09-30,3.8,NaN
2008-12-31,-0.4,NaN
2009-03-31,-3.1,NaN
2009-06-30,-4.1,NaN
2009-09-30,-2.8,NaN
2009-12-31,0.9,NaN
2010-03-31,3.8,NaN
2010-06-30,3.7,NaN
2010-09-30,2.6,NaN
2010-12-31,2.9,NaN
2011-03-31,2.6,NaN
2011-06-30,2.5,NaN
2011-09-30,1.3,NaN
2011-12-31,0.9,NaN
2012-03-31,0.9,NaN
2012-06-30,0.5,NaN
2012-09-30,1.6,NaN
2012-12-31,1.7,NaN
2013-03-31,1.1,NaN
2013-06-30,2.1,NaN
2013-09-30,1.9,NaN
2013-12-31,2,NaN
2014-03-31,2.3,NaN
2014-06-30,2.1,NaN
2014-09-30,2.2,NaN
2014-12-31,2.8,NaN
2015-03-31,1.9,NaN
2015-06-30,1.6,NaN
2015-09-30,1.6,NaN
2015-12-31,1.5,NaN
2016-03-31,2.2,NaN
2016-06-30,2.4,NaN
2016-09-30,2.1,NaN
2016-12-31,1.6,NaN
2017-03-31,1.9,NaN
2017-06-30,0.9,NaN
2017-09-30,0.9,NaN
2017-12-31,1.7,NaN
2018-03-31,2.6,NaN
2018-06-30,4,NaN
2018-09-30,2.8,NaN
2018-12-31,2.1,NaN
2019-03-31,1,NaN
2019-06-30,0.3,NaN
2019-09-30,1.5,NaN
2019-12-31,1.7,NaN
2020-03-31,0.4,NaN
2020-06-30,-7,NaN
2020-09-30,-1,NaN
2020-12-31,-0.9,NaN
2021-03-31,0.6,NaN
2021-06-30,10.6,NaN
2021-09-30,5.5,NaN
2021-12-31,5.1,NaN
2022-03-31,5.1,NaN
2022-06-30,3.2,NaN
2022-09-30,1.1,NaN
2022-12-31,1.1,NaN
2023-03-31,1.6,NaN
2023-06-30,0.3,NaN
2023-09-30,0.4,NaN
2023-12-31,0.5,NaN
2024-03-31,0.6,NaN
2024-06-30,1.5,NaN
2024-09-30,1.3,NaN
2024-12-31,1.6,NaN
2025-03-31,2,NaN
